timestamp,value,xrp_price,btc_price
2025-11-28 15:00:00,1859.8164269043837,2.24415,92320.1
2025-11-28 16:00:00,1876.6631920889545,2.19253,90937.1
2025-11-28 17:00:00,1882.7090291978307,2.17403,90600.7
2025-11-28 18:00:00,1883.9935876746754,2.17013,90771.7
2025-11-28 19:00:00,1877.7481513328428,2.18932,91165.4
2025-11-28 20:00:00,1877.8489126036422,2.18905,91167.0
2025-11-28 21:00:00,1879.4269748243378,2.18425,90891.0
2025-11-28 22:00:00,1877.8906390658385,2.189,91114.2
2025-11-28 23:00:00,1880.297033511777,2.18166,90888.3
2025-11-29 00:00:00,1880.6782540142585,2.18053,90856.1
2025-11-29 01:00:00,1881.199704045525,2.17897,90889.9
2025-11-29 02:00:00,1881.4537398796283,2.17823,90776.9
2025-11-29 03:00:00,1878.8314416704943,2.18631,90679.8
2025-11-29 04:00:00,1878.2930182754728,2.188,90813.6
2025-11-29 05:00:00,1880.7320247418452,2.18056,90777.7
2025-11-29 06:00:00,1880.2946971649822,2.18194,90549.2
2025-11-29 07:00:00,1881.0379059055301,2.1797,90572.4
2025-11-29 08:00:00,1880.6918906974047,2.1808,90570.7
2025-11-29 09:00:00,1881.0013666876691,2.17989,90607.4
2025-11-29 10:00:00,1878.9562926039155,2.1862,90625.6
2025-11-29 11:00:00,1871.8042580085355,2.20817,90632.2
2025-11-29 12:00:00,1870.6331722473465,2.2118,90706.3
2025-11-29 13:00:00,1873.5743964805984,2.20282,90783.9
2025-11-29 14:00:00,1874.7317718561633,2.19931,90631.4
2025-11-29 15:00:00,1868.140655375954,2.21956,91065.6
2025-11-29 16:00:00,1869.0925784877754,2.21668,91018.1
2025-11-29 17:00:00,1874.8253473045968,2.19914,90500.0
2025-11-29 18:00:00,1874.5804286111686,2.19993,90732.1
2025-11-29 19:00:00,1876.6085314207023,2.19375,90645.4
2025-11-29 20:00:00,1875.8972684789278,2.19597,90975.2
2025-11-29 21:00:00,1872.1466140035473,2.20751,90999.9
2025-11-29 22:00:00,1873.1898498323997,2.20435,90745.1
2025-11-29 23:00:00,1873.8450089212206,2.20238,90840.4
2025-11-30 00:00:00,1874.5947414415339,2.20012,90846.2
2025-11-30 01:00:00,1871.7898207586438,2.20876,90914.9
2025-11-30 02:00:00,1874.6006001315027,2.20018,90813.7
2025-11-30 03:00:00,1872.770763415231,2.20583,90889.7
2025-11-30 04:00:00,1874.7532109111103,2.19979,90873.0
2025-11-30 05:00:00,1875.9268933417823,2.19623,90810.1
2025-11-30 06:00:00,1876.1809316137887,2.19549,90899.0
2025-11-30 07:00:00,1874.8011339192676,2.19976,90954.6
2025-11-30 08:00:00,1877.4814678222772,2.19158,91186.3
2025-11-30 09:00:00,1875.7462049728836,2.19694,91414.2
2025-11-30 10:00:00,1878.3482714546672,2.189,91237.5
2025-11-30 11:00:00,1878.3740296755313,2.18896,91112.5
2025-11-30 12:00:00,1875.7517343397092,2.19704,91432.7
2025-11-30 13:00:00,1874.0490833367085,2.2023,91789.9
2025-11-30 14:00:00,1877.38490887352,2.19211,91442.3
2025-11-30 15:00:00,1876.3181822571626,2.19542,91506.6
2025-11-30 16:00:00,1871.7196304862634,2.20956,91800.0
2025-11-30 17:00:00,1873.2357346916838,2.20495,91503.4
2025-11-30 18:00:00,1873.5908696526844,2.2039,91449.7
2025-11-30 19:00:00,1875.550490406105,2.19793,91481.7
2025-11-30 20:00:00,1876.0393326833848,2.19647,91344.4
2025-11-30 21:00:00,1879.1860121409386,2.18686,91170.7
2025-11-30 22:00:00,1877.5159734197625,2.19202,91207.7
2025-11-30 23:00:00,1851.8017438000932,2.15307,90420.0
2025-12-01 00:00:00,1904.413807430228,2.05925,87089.1
2025-12-01 01:00:00,1907.3087334704396,2.08377,87254.4
2025-12-01 02:00:00,1903.2319735975611,2.06587,86710.3
2025-12-01 03:00:00,1899.4979364648302,2.04947,86401.6
2025-12-01 04:00:00,1895.2772332576267,2.03094,85810.5
2025-12-01 05:00:00,1894.247853062842,2.02702,86007.4
2025-12-01 06:00:00,1898.6880515579307,2.04584,86315.3
2025-12-01 07:00:00,1901.5239106621805,2.05784,86529.2
2025-12-01 08:00:00,1901.1510908958885,2.0562,86853.5
2025-12-01 09:00:00,1899.672641371746,2.04986,86733.1
2025-12-01 10:00:00,1897.9824755828438,2.04262,86629.9
2025-12-01 11:00:00,1895.9394492934316,2.03388,86200.4
2025-12-01 12:00:00,1895.178483234293,2.03059,85514.6
2025-12-01 13:00:00,1892.681443164285,2.01992,85973.4
2025-12-01 14:00:00,1896.6441043726866,2.03671,86145.5
2025-12-01 15:00:00,1889.5434099910037,2.00647,84605.5
2025-12-01 16:00:00,1888.3990024468865,2.00155,84506.3
2025-12-01 17:00:00,1887.2710618191447,1.9967,84970.2
2025-12-01 18:00:00,1889.5282305343712,2.00624,85269.7
2025-12-01 19:00:00,1887.014724170084,1.9955,85062.8
2025-12-01 20:00:00,1890.9867955274315,2.01233,85461.5
2025-12-01 21:00:00,1891.0663289869801,2.00987,86414.5
2025-12-01 22:00:00,1897.4345574096963,2.03684,86652.5
2025-12-01 23:00:00,1896.071358308015,2.031,86334.1
2025-12-02 00:00:00,1893.6784019445688,2.02079,86505.3
2025-12-02 01:00:00,1892.8383291800626,2.01717,86428.2
2025-12-02 02:00:00,1894.3146214368217,2.02338,86535.2
2025-12-02 03:00:00,1894.2003274857886,2.02284,86988.2
2025-12-02 04:00:00,1893.0633455454217,2.01796,87009.4
2025-12-02 05:00:00,1893.0008931029727,2.01764,87020.8
2025-12-02 06:00:00,1894.4771857146086,2.02385,87109.3
2025-12-02 07:00:00,1892.0748042756222,2.0136,87064.2
2025-12-02 08:00:00,1889.9198474603702,2.0044,86433.2
2025-12-02 09:00:00,1892.2232452123553,2.01412,86791.5
2025-12-02 10:00:00,1896.3363767948708,2.03152,87319.5
2025-12-02 11:00:00,1898.3475781305724,2.04,87347.4
2025-12-02 12:00:00,1897.455665010848,2.03616,87299.5
2025-12-02 13:00:00,1898.4748119598037,2.04043,87724.5
2025-12-02 14:00:00,1779.0163279254232,2.09458,89165.4
2025-12-02 15:00:00,1829.811085485264,2.15706,90925.8
2025-12-02 16:00:00,1832.3968110904625,2.14926,90761.0
2025-12-02 17:00:00,1823.36688123066,2.17667,91436.9
2025-12-02 18:00:00,1824.9761133855473,2.17183,91950.3
2025-12-02 19:00:00,1824.2298846597048,2.17413,91872.0
2025-12-02 20:00:00,1828.333134480297,2.16173,91086.4
2025-12-02 21:00:00,1825.9407224214935,2.16902,91572.7
2025-12-02 22:00:00,1825.7223283434532,2.16972,91964.6
2025-12-02 23:00:00,1831.003308904867,2.15375,91279.3
2025-12-03 00:00:00,1830.867389121998,2.1542,91560.8
2025-12-03 01:00:00,1828.6069360041456,2.16109,92167.4
2025-12-03 02:00:00,1821.5959734597252,2.18238,92832.9
2025-12-03 03:00:00,1823.4361339329657,2.17684,92707.8
2025-12-03 04:00:00,1816.6033156669578,2.19759,93306.0
2025-12-03 05:00:00,1813.6863688696023,2.20647,93637.7
2025-12-03 06:00:00,1817.9116812514155,2.1937,93385.4
2025-12-03 07:00:00,1818.80503913051,2.19103,93007.6
2025-12-03 08:00:00,1819.0320061777418,2.19038,92788.2
2025-12-03 09:00:00,1820.819383727056,2.185,93197.8
2025-12-03 10:00:00,1823.480987071104,2.17697,92947.8
2025-12-03 11:00:00,1824.2159949765255,2.17478,93019.8
2025-12-03 12:00:00,1822.8396654067265,2.17899,92935.3
2025-12-03 13:00:00,1823.5284879747066,2.17694,93157.8
2025-12-03 14:00:00,1823.6828783083945,2.17651,92455.6
2025-12-03 15:00:00,1826.5358220481846,2.1679,92382.8
2025-12-03 16:00:00,1825.4399048416349,2.17126,92267.7
2025-12-03 17:00:00,1821.2330637832977,2.18405,93028.9
2025-12-03 18:00:00,1826.497551151195,2.16813,92583.2
2025-12-03 19:00:00,1820.8820522355431,2.18519,93024.1
2025-12-03 20:00:00,1816.9028400155812,2.19729,92961.6
2025-12-03 21:00:00,1809.4774233201122,2.20743,93700.0
2025-12-03 22:00:00,1810.6439206463938,2.20395,93712.9
2025-12-03 23:00:00,1812.9545725335074,2.19702,93439.7
2025-12-04 00:00:00,1811.8626085857463,2.20035,93035.1
2025-12-04 01:00:00,1813.3176320780192,2.196,93205.4
2025-12-04 02:00:00,1811.459582259623,2.20164,93953.9
2025-12-04 03:00:00,1813.7403869782272,2.1948,93556.6
2025-12-04 04:00:00,1816.3893110478962,2.18685,93321.9
2025-12-04 05:00:00,1820.0828979848402,2.17575,92966.6
2025-12-04 06:00:00,1818.3973007748475,2.18087,93150.8
2025-12-04 07:00:00,1821.7625652928275,2.17076,93376.4
2025-12-04 08:00:00,1824.3252635676479,2.16307,93247.8
2025-12-04 09:00:00,1821.0312175664433,2.17304,93499.3
2025-12-04 10:00:00,1825.9651347075735,2.1582,93260.7
2025-12-04 11:00:00,1828.6273249306378,2.15021,92920.5
2025-12-04 12:00:00,1830.145360762654,2.14567,93074.9
2025-12-04 13:00:00,1836.31297515862,2.12711,92539.9
2025-12-04 14:00:00,1839.3432849025469,2.11801,91928.1
2025-12-04 15:00:00,1828.182762839881,2.1517,93027.4
2025-12-04 16:00:00,1833.5345456033447,2.1356,92431.8
2025-12-04 17:00:00,1835.2548816367544,2.13045,92400.9
2025-12-04 18:00:00,1844.261326113466,2.10333,92002.6
2025-12-04 19:00:00,1720.984109991427,2.09803,92015.8
2025-12-04 20:00:00,1725.1298555848043,2.10442,92526.9
2025-12-04 21:00:00,1716.0068251688708,2.0903,92112.8
2025-12-04 22:00:00,1722.3651118417115,2.10011,92415.4
2025-12-04 23:00:00,1719.7114994761112,2.09599,92120.9
2025-12-05 00:00:00,1725.7204377444298,2.10526,92267.7
2025-12-05 01:00:00,1726.553841782401,2.10653,92357.8
2025-12-05 02:00:00,1729.4445207897686,2.11098,92531.0
2025-12-05 03:00:00,1718.1671747012776,2.09353,92181.4
2025-12-05 04:00:00,1713.326899492941,2.08603,92053.6
2025-12-05 05:00:00,1710.8091453874456,2.08212,91916.0
2025-12-05 06:00:00,1714.178561641552,2.08731,92274.1
2025-12-05 07:00:00,1718.2531445262862,2.09359,92228.5
2025-12-05 08:00:00,1708.0238445394991,2.07776,92075.9
2025-12-05 09:00:00,1695.1614915526898,2.05786,91127.8
2025-12-05 10:00:00,1711.3145108790293,2.06227,91320.9
2025-12-05 11:00:00,1714.962956496451,2.06808,91368.3
2025-12-05 12:00:00,1714.9746779090003,2.06808,91230.6
2025-12-05 13:00:00,1714.2790846957703,2.06695,90477.4
2025-12-05 14:00:00,1713.8714249829918,2.06628,90257.3
2025-12-05 15:00:00,1718.6152698026203,2.07384,90478.2
2025-12-05 16:00:00,1866.3255274868357,2.03405,88808.4
2025-12-05 17:00:00,1859.0113210791508,2.03605,89349.1
2025-12-05 18:00:00,1855.0435434353785,2.01868,89020.7
2025-12-05 19:00:00,1859.9671770016403,2.04011,89792.3
2025-12-05 20:00:00,1856.2193932095581,2.0237,89271.3
2025-12-05 21:00:00,1856.6514893727376,2.02553,89160.8
2025-12-05 22:00:00,1859.0795699241562,2.03607,89268.6
2025-12-05 23:00:00,1858.8768928388201,2.03513,89366.2
2025-12-06 00:00:00,1857.8354899461237,2.03053,89426.1
2025-12-06 01:00:00,1857.5961474223407,2.02943,89321.0
2025-12-06 02:00:00,1858.3169857230064,2.03252,89350.0
2025-12-06 03:00:00,1859.4571870581767,2.03744,89679.3
2025-12-06 04:00:00,1859.0872235501677,2.03577,89690.0
2025-12-06 05:00:00,1861.0455265471053,2.04426,89634.1
2025-12-06 06:00:00,1859.0118610292109,2.03533,89686.5
2025-12-06 07:00:00,1857.9956663558894,2.03084,89637.0
2025-12-06 08:00:00,1855.0774431017614,2.01805,89316.1
2025-12-06 09:00:00,1857.2901141369152,2.02765,89568.3
2025-12-06 10:00:00,1856.9178595514184,2.02597,89508.3
2025-12-06 11:00:00,1858.2436812495375,2.0317,89621.8
2025-12-06 12:00:00,1858.0570465036772,2.03083,89587.7
2025-12-06 13:00:00,1858.7687193605411,2.03388,89643.7
2025-12-06 14:00:00,1860.117457328377,2.03971,90053.8
2025-12-06 15:00:00,1858.34045188562,2.0319,89814.5
2025-12-06 16:00:00,1859.2812850846412,2.03595,89715.6
2025-12-06 17:00:00,1858.3086316988367,2.03165,89675.4
2025-12-06 18:00:00,1857.9615854199824,2.03008,89639.0
2025-12-06 19:00:00,1856.7460225233156,2.02472,89409.2
2025-12-06 20:00:00,1857.8656009340193,2.02955,89550.9
2025-12-06 21:00:00,1858.8912237989514,2.03397,89453.3
2025-12-06 22:00:00,1857.606913139822,2.02831,89285.4
2025-12-06 23:00:00,1857.5967326154184,2.02821,89222.4
2025-12-07 00:00:00,1859.6581593058297,2.03715,89396.3
2025-12-07 01:00:00,1860.4454560359736,2.04053,89376.8
2025-12-07 02:00:00,1862.1608511793129,2.04796,89606.2
2025-12-07 03:00:00,1867.4236444557926,2.07087,89701.6
2025-12-07 04:00:00,1863.393996555833,2.05323,89546.2
2025-12-07 05:00:00,1862.2494741564128,2.04818,89523.1
2025-12-07 06:00:00,1861.8840961178753,2.04653,89712.3
2025-12-07 07:00:00,1858.138606979416,2.03013,89382.4
2025-12-07 08:00:00,1859.2077712191829,2.03474,89292.8
2025-12-07 09:00:00,1858.2007452169894,2.03029,89088.0
2025-12-07 10:00:00,1858.4174341318217,2.03118,89247.8
2025-12-07 11:00:00,1858.5172514928424,2.03156,89171.1
2025-12-07 12:00:00,1861.8940580920369,2.04624,89472.8
2025-12-07 13:00:00,1858.32273113816,2.0306,89064.1
2025-12-07 14:00:00,1851.4408137081589,1.99904,88225.3
2025-12-07 15:00:00,1863.025585098209,2.0488,89479.0
2025-12-07 16:00:00,1863.3126848263312,2.04998,89905.5
2025-12-07 17:00:00,1872.453270921184,2.08923,90876.2
2025-12-07 18:00:00,1822.4376540813819,2.11121,91361.5
2025-12-07 19:00:00,1831.553139329697,2.08526,91369.8
2025-12-07 20:00:00,1830.9552471107509,2.087,91451.5
2025-12-07 21:00:00,1844.9712700675104,2.04708,90283.4
2025-12-07 22:00:00,1851.950443932869,2.02722,89592.8
2025-12-07 23:00:00,1845.63818142746,2.04525,90480.1
